Company Name,Job Title,Rating,Salary Estimate,Location,Size,Founded,Type of ownership,Industry,Revenue
"BrokersInternational,Ltd.",Data Engineer,4.2,$60K - $121K (Glassdoor est.),"Urbandale, IA",51 to 200 Employees,1955,Company - Private,Investment Banking & Asset Management,$25 to $50 million (USD)
"Alkahest,",Scientist - Immunology,Inc.,$71K - $174K (Glassdoor est.),"San Carlos, CA",--,--,--,--,--
BankUnited,"VP, Data Scientist",3.0,$74K - $153K (Glassdoor est.),"Miami Lakes, FL",1001 to 5000 Employees,2009,Company - Public,Banks & Credit Unions,$10+ billion (USD)
Perspecta,Machine Learning Engineer,3.5,$75K - $153K (Glassdoor est.),"Wharton, NJ",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
CatalentPharma,Associate Analytical Scientist,Solutions,$45K - $95K (Glassdoor est.),"Winchester, KY",--,--,--,--,--
AHAAmericanHospitalAssociation,Healthcare Data Analyst,2.8,$42K - $84K (Glassdoor est.),"Chicago, IL",501 to 1000 Employees,1898,Nonprofit Organization,Membership Organizations,$100 to $500 million (USD)
Perspecta,Data Scientist III,3.5,$88K - $154K (Glassdoor est.),"Charlottesville, VA",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
BSHHomeAppliancesCorporation,Data Analyst & Processes,3.6,$37K - $69K (Glassdoor est.),"New Bern, NC",1001 to 5000 Employees,1998,Subsidiary or Business Segment,Consumer Products Manufacturing,$1 to $2 billion (USD)
Uline,Financial Data Analyst,3.6,$65K - $79K (Employer est.),"Pleasant Prairie, WI",5001 to 10000 Employees,1980,Company - Private,Industrial Manufacturing,$5 to $10 billion (USD)
JohnsHopkinsAppliedPhysicsLaboratory(APL),AI/ML Research Scientist,4.6,$79K - $148K (Glassdoor est.),"Laurel, MD",5001 to 10000 Employees,1942,Nonprofit Organization,Aerospace & Defense,$1 to $2 billion (USD)
"OGI,LLC",Manager of Purchasing & Statistical Modeling Analyst,3.1,$40K - $90K (Glassdoor est.),"Minneapolis, MN",1 to 50 Employees,1997,Company - Private,Consumer Products Manufacturing,$1 to $5 million (USD)
Sapience,"Scientist/Senior Scientist, Discovery Biology",Therapeutics,not found-------------------,New York State,--,--,--,--,--
WorkforceOpportunityServices,Early Career Data Scientist,2.8,$54K - $112K (Glassdoor est.),"Boston, MA",--,--,--,--,--
NovoBuilding,Business Intelligence Analyst,Products,$47K - $90K (Glassdoor est.),"Zeeland, MI",--,--,--,--,--
GEICO,Senior Data Analyst,3.4,$70K - $123K (Glassdoor est.),"Chevy Chase, MD",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,$10+ billion (USD)
Perspecta,Senior Data Scientist,3.5,$82K - $140K (Glassdoor est.),"Fort Gordon, GA",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
Perspecta,Data Modeler,3.5,$69K - $156K (Glassdoor est.),"Chantilly, VA",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
InfosysLimited,Data Engineer,3.4,$61K - $120K (Glassdoor est.),"Raleigh, NC",10000+ Employees,1981,Company - Public,IT Services,$10+ billion (USD)
Perspecta,Data Scientist - SME,3.5,$64K - $147K (Glassdoor est.),"Miami, FL",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
Grace,Microarray Scientist,Bio-Labs,$65K - $128K (Glassdoor est.),"Bend, OR",--,--,--,--,--
Perspecta,Data Scientist Technical Specialist,3.5,$77K - $143K (Glassdoor est.),"McLean, VA",10000+ Employees,2018,Company - Public,Aerospace & Defense,Unknown / Non-Applicable
Deloitte,Data Scientist Manager,3.9,$84K - $152K (Glassdoor est.),"Arlington, VA",10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD)
InfosysLimited,Data Science Consultant,3.4,$62K - $118K (Glassdoor est.),"Richardson, TX",10000+ Employees,1981,Company - Public,IT Services,$10+ billion (USD)
AscentPoweredbySober,Sr. Data Scientist,Grid,$58K - $122K (Glassdoor est.),"Cleveland, OH",--,--,--,--,--
